user;waktu;Sentimen;lokasi;komentar
dwi rukmeiasih;2 tahun lalu;positif;Museum Keraton;Menyenangkan
Hambaly Khaider Channel;2 tahun lalu;positif;Museum Keraton;Yuk.. liburan k Sumenep pasti menyenangkan
Didith Ibnu Siddik;2 tahun lalu;positif;Museum Keraton;Sebagian besar koleksi adalah replika
Winardi Nonik;2 tahun lalu;negatif;Museum Keraton;Sekarang tutup
ninis limah;2 tahun lalu;positif;Museum Keraton;unik
Bintang Klebs;2 tahun lalu;positif;Museum Keraton;Tempat yang menyimpan sejarah rakyat Sumenep
Nur Syamsi Innayah;2 tahun lalu;positif;Museum Keraton;Bersih, aman, rapi
Habibi Moza;2 tahun lalu;positif;Museum Keraton;Musium yang masih terjaga keasriannya!!!
Gunawan Wibisana;2 tahun lalu;positif;Museum Keraton;jejak sejarah perlu dilestarikan
On Fly;2 tahun lalu;positif;Museum Keraton;Tempat bersejarah di kabupaten sumenep
Zainur Arifin;2 tahun lalu;positif;Museum Keraton;Penuh dengan sejarah
Hoiri Lowbat;2 tahun lalu;positif;Museum Keraton;tempat sejarah sebelum kemerdekaan RU
Lingga Kurniawan;2 tahun lalu;positif;Museum Keraton;berisi peminggalan sejarah keraton Sumenep ?? …
Eka Adetya;2 tahun lalu;positif;Museum Keraton;Bersih
ICHIRO NAICHI;2 tahun lalu;positif;Museum Keraton;Baik
Awaludin Rakhman;2 tahun lalu;positif;Museum Keraton;Adem
bor pile;2 tahun lalu;Positif;Museum Keraton;bagus bgt
CAKLUK;2 tahun lalu;positif;Museum Keraton;Wisata Bersejarah..
anwar sidki;2 tahun lalu;positif;Museum Keraton;Penuh bersejarah
R _Antox;2 tahun lalu;Positif;Museum Keraton;Bagus untuk mengenal sejarah Sumenep
Syafiq Sulaimi;2 tahun lalu;positif;Museum Keraton;Tempat peninggalan sejarah
bakso panglima;2 tahun lalu;positif;Museum Keraton;Petugasnya ramah-ramah ???? …
Agus Susanto;2 tahun lalu;positif;Museum Keraton;Tempatnya mudah dijangkau
Santoso Msh;2 tahun lalu;positif;Museum Keraton;Tempat fisit yg representatif
Achmad Syaifudin Zuhri;2 tahun lalu;positif;Museum Keraton;Tempat kenangan waktu kecil
andhit thok;2 tahun lalu;positif;Museum Keraton;Kurang terawat
dodi iskandar;2 tahun lalu;positif;Museum Keraton;Sangat membantu
Bogel Almunium;2 tahun lalu;Positif;Museum Keraton;Sangat bagus
Agus Suharsono;2 tahun lalu;positif;Museum Keraton;Masih alami dan Asri
Ijan Syah;2 tahun lalu;Positif;Museum Keraton;Bagus...
R Mohammed Alam;2 tahun lalu;positif;Museum Keraton;Gratis masuk..
Umar Arif;2 tahun lalu;positif;Museum Keraton;Mantab
biker insyaf;2 tahun lalu;positif;Museum Keraton;Mantab
Marvell Xavier;2 tahun lalu;negatif;Museum Keraton;Tutup
RAKA _ CHANNEL;2 tahun lalu;Positif;Museum Keraton;Keren
Sri Wardaningsih;2 tahun lalu;Positif;Museum Keraton;Bagus
Dian Dian;2 tahun lalu;Positif;Museum Keraton;bagus
Fauzi Sbt;2 tahun lalu;Positif;Museum Keraton;Bagus
Jayanti Aisyah;2 tahun lalu;Positif;Museum Keraton;Bagus
R Firman Agung AR;2 tahun lalu;positif;Museum Keraton;Klasik
FABIAN GAMING;2 tahun lalu;positif;Museum Keraton;Wow
Yakup Hariyanto;2 tahun lalu;positif;Museum Keraton;Ingin kesini
rifmi utami;2 tahun lalu;Positif;Museum Keraton;Tempat yang sangat bagus... merekomendasikan semua ora …
Mardi Setiawan;2 tahun lalu;positif;Museum Keraton;Dahulu Keraton Sumenep kini dijadikan museum
bayu indrajati;2 tahun lalu;Positif;Museum Keraton;Budaya bangsa, keindahan Madura.
Dahat Riswanto;2 tahun lalu;positif;Museum Keraton;Bukti sejarah masa lalu
Herlina S;2 tahun lalu;positif;Museum Keraton;Saat saya kesana jam 15.00, gerbangnya ditutup dan tidak ada pengumuman jam buka.
Agus SMA;2 tahun lalu;positif;Museum Keraton;Luar bia …
hendri sarwo;2 tahun lalu;positif;Museum Keraton;Ke be …
Faiz Nuril;2 tahun lalu;positif;Museum Keraton;Ok …
tukang post;2 tahun lalu;positif;Museum Keraton;Ok …
misruji hasya;2 tahun lalu;positif;Museum Keraton;Ata …
Toms Ride n cullinary;2 tahun lalu;positif;Museum Keraton;Tempat yan …
Rudi Citoz;2 tahun lalu;positif;Museum Keraton;Yang terbaik
ady kurniadi;3 bulan lalu;positif;Museum Keraton;Tempat bersejarah yang masih menyimpan benda2 peninggalan raja2 sumenep. dan Suasana tempatnya sejuk, adem meski saat di siang hari sangat kerasan berada dalam keraton..
Hasina Fajrin R.;3 bulan lalu;positif;Museum Keraton;Guidenya baik hati dan sabar menjawab pertanyaan
Moch Sullam;3 bulan lalu;positif;Museum Keraton;Sangat memuaskan pemandu wisatanya
Ida Wati;3 bulan lalu;Positif;Museum Keraton;Bagus
Azroor rohim;3 bulan lalu;positif;Museum Keraton;Senang sekali mengenal sejarah
Travel Jember Travel Jember;3 bulan lalu;positif;Museum Keraton;Masih terjaga dengan baik
Arik Cuy;3 bulan lalu;positif;Museum Keraton;Rumahku Surgaku
Nurul Hadi;3 bulan lalu;positif;Museum Keraton;Tamansari di Keraton Sumenep.
Arda Riki (Mangger);3 minggu lalu;positif;Museum Keraton;Untuk kerisnya sy msih nilai 100%
Zain Rahman;3 minggu lalu;Positif;Museum Keraton;Bagus
Inayatul Maghfirah Agustania;3 tahun lalu;positif;Museum Keraton;Satu-satunya keraton yang ada di Sumenep khususnya dan di Madura pada umumnya Keraton ini benar-benar masih terawat sehingga bangunannya masih kokoh hingga sekarang dan menjadi objek wisata yang mendapat kunjungan dari berbagai warga dari …
Indra Susandi;3 tahun lalu;positif;Museum Keraton;Satu-satunya Keraton di Jawa Timur yang masih utuh. Disini bisa kita liat silsilah raja-raja Sumenep, barang2 peninggalan kerajaan. Juga ada Al-Quran tulis tangan serta arca2 peninggalan sebelum Islam. Keratonnya ditutup tapi Taman Sarinya …
dian ekawati suryaman;3 tahun lalu;Positif;Museum Keraton;Tempat yang bersejarah, jejak. keraton yang masih bisa dilihat sampai sekarang. Banyak koleksi kerajaan jaman dulu yang masih bisa dilihat. Museum terawat dan bersih, tersedia guide khusus museum.
PROPERTY ART official;3 tahun lalu;positif;Museum Keraton;Museum Keraton Sumenep masih asri dengan suasana yang masih tidak berubah seperti dulu barang² yang ada di museum terjaga kebersihannya dan juga sekitar museum juga cocok recomended latar vintage fotografi
Faisal Faisal;3 tahun lalu;positif;Museum Keraton;Tempat bersejarah dimana kita bisa menikmati peninggalan tentang kerajaan sumenep tempo dulu
Mohammad Yasin;3 tahun lalu;Positif;Museum Keraton;Menyimpan banyak sejarah Sumenep dan bangunan ini merupakan bangunan monumental serta terkenal ke seluruh negeri.
Suwarta Djanoarta;3 tahun lalu;positif;Museum Keraton;Keraton Sumenep yang menyimpan banyak sejarah, semenjak Aria Wiraraja sampai bupati Sumenep saat ini (750 tahun). Wajib dikunjungi saat ke Sumenep
Yakub Herianto;3 tahun lalu;positif;Museum Keraton;Dari tempat ini kita tahu kerajaan sumenep ikut berperan atas berdirinya kerajaan majapahit.
Tatik Sri Mariyati;3 tahun lalu;Positif;Museum Keraton;Tempat bagian sejarah kraton sumenep ini meninggalkan  pedopo yg masih bagus juga tempat pemadian yg ada 3 pintu sumber 1 utk menjadi tetap awet muda 2.tempat utk membuka sumber rejeki 3 .tempat utk membuka kepangkatan . …
Deri Budi PERCI chanel;3 tahun lalu;positif;Museum Keraton;Berlibur sambil tambah wawasan jika berkunjung ke tempat ini. Banyak kesenian dan budaya purbakala di jaman kerajaan pada masanya.
afidha setyo;3 tahun lalu;positif;Museum Keraton;Menyenangkan, menambah pengetahuan. Guidenya juga ramah, tiket masuk Rp. 5.000
Shadrissaid;3 tahun lalu;positif;Museum Keraton;Satu2nya kraton yg masih ad di jawa timur
Panji Sarkun;3 tahun lalu;positif;Museum Keraton;Museum Keraton Agung Sumenep semakin mantap, pemandunya wisatanya ramah ramah… Sukses Buat Koordonator Museum Keraton Agung Sumenep
Aryo Dwi;3 tahun lalu;Positif;Museum Keraton;Bagus klo sore karena sepi
andrie rusdiansyah;3 tahun lalu;positif;Museum Keraton;Salah satu peninggalan jaman kerajaan
jokoraharto _;3 tahun lalu;Positif;Museum Keraton;bagus untuk mengetahui sejarah bahwa dr songenep/sumenep juga melahirkan beberapa pemimpin/adipati di pulau jawa, tp perlu jg kebersihan dan keindahannya dijaga ?? …
Wawan Setiawan;3 tahun lalu;positif;Museum Keraton;Salah satu keraton yg madih berdiri lengkap di Jawa Timur. Luas, bersih, dan sepertinya menarik, masih banyak peninggalan budayanya. Sayang waktu saya berkunjung, keraton masih ditutup karena wabah covid 19.
Vivi Nur Vitriani;3 tahun lalu;positif;Museum Keraton;Jika berkunjung ke masjid ini, cobalah berkeliling. Amati setiap sudutnya..ada penggalan sejarah islam madura yg luar biasa di situ
bang tito;3 tahun lalu;positif;Museum Keraton;Tempat yg bersejarah buat kota sumenep, dg segala ceritanya...sayang sdh byk barang bersejarah yg raib gak tau kemana
Berkah Ukir Jepara;3 tahun lalu;positif;Museum Keraton;Baru lihat2 fotonya semoga bisa kesumenep, barang kali ada yang minat pintu ukir bisa cek dikami
isbar mubarak;3 tahun lalu;Positif;Museum Keraton;Koleksi nya kurang banyak, jika ingin belajar sejarah dan ingin tahu tentang sejarah kota Sumenep ya kesini aja
Ayu Putri Giono;3 tahun lalu;Positif;Museum Keraton;Tempat yang adem apalagi kemarin sama anak anak latsarnas.
Sonny Hadinata;3 tahun lalu;positif;Museum Keraton;Guide nya cekep n ramah wkwkwkwk...tapi sayang yg namanya KAJUH LAKEK ilang di ambil org gk bertanggung jwb. Smoga kebuka hatinya n bsa menyadari kesalahannya
Halim Perdana Kusuma ID (youtuber Pamekasan);3 tahun lalu;Positif;Museum Keraton;Sebuah tempat yang penuh edukasi buat kita
Susi Yenita;3 tahun lalu;Positif;Museum Keraton;Banyak benda sejarahnya
susilo eni;3 tahun lalu;positif;Museum Keraton;Salah satu keraton di Sumenep Madura Jawa Timur yang masih dijaga kelesatariannya sehingga generasi milenium tetap bisa melihat peninggalan sejarah jauh sebelum kemerdekaan
Rudy Gunawan;3 tahun lalu;positif;Museum Keraton;Mantap ada gietnya
N J R;3 tahun lalu;positif;Museum Keraton;Karena tempat bersejarah sekali serta semakin terawat sampai sekarang
Ryuuzaki Nozomi;3 tahun lalu;Positif;Museum Keraton;Tempat yang indah dan penuh sejarah. Diharapkan jika berada disini untuk menjaga kebersihan dan sikap.
YSRX;3 tahun lalu;Positif;Museum Keraton;Sangat bagus
Ch Arifah;3 tahun lalu;Positif;Museum Keraton;Tempat yang wajib dikunjungi ketika ke sumenep???? …
Nabiel Baselor;3 tahun lalu;positif;Museum Keraton;Merupakan Museum terbaik. Di madura
Mega Setiawan;3 tahun lalu;positif;Museum Keraton;"Museum tempat yg bersejarah dr raja"" SUMENEP dan peninggalan""nya."
Decky Purwanto;3 tahun lalu;positif;Museum Keraton;Karna di tempat ini sangat lengkap transfer, isi pulsa, aksesoris HP dan segala macam pembayaran
Shinta Ayu;3 tahun lalu;positif;Museum Keraton;perlu ditingkatkan dan dijaga teruss yaa karena ini merupakan pusat budaya atau sejarah keraton di sumenep
Dafid Riyadi;3 tahun lalu;positif;Museum Keraton;Bisa mengenal sejarah kota sumenep
yuyun id;3 tahun lalu;positif;Museum Keraton;penuh kenangan...sy diberi kesempatan sholat zhuhur didalam kamar raja...luar biasa
Dian Utami;3 tahun lalu;Positif;Museum Keraton;Bagus. Tempat bersejarah yang memiliki cukup banyak koleksi
Mirut Mitur;3 tahun lalu;Negatif;Museum Keraton;Sayang masih belum buka dimasa pandemi ini
Tasliman Ubaidillah;3 tahun lalu;Positif;Museum Keraton;Arsitektur yg indah diujung timur pulau madura
susanto;3 tahun lalu;positif;Museum Keraton;Kraton asri dan menyenangkan
Kiki Melaendo;3 tahun lalu;Positif;Museum Keraton;pariwisata berbasis history, keren
Elok Aulal Inayah;3 tahun lalu;positif;Museum Keraton;Tempat edukasi yg baik untuk belajar sejarah masa lalu yg ada d sumenep
Udang Lisyanto;3 tahun lalu;Positif;Museum Keraton;Oke Cinta Tanah Air Indonesia
Ge Pradana;3 tahun lalu;positif;Museum Keraton;Memberikan pengetahuan dgn media yg lengkap tentang sejarah keraton sumenep
Ari;3 tahun lalu;positif;Museum Keraton;Sangat menarik, wisata sejarah ada wisata religi ada.... spa pun ada
mucho cruise;3 tahun lalu;positif;Museum Keraton;Belajar sejarah masa lampau lewat peninggalan yang dipamerkan
Rifki Alain;3 tahun lalu;positif;Museum Keraton;Bersejarah banget
Wida Yanti;3 tahun lalu;positif;Museum Keraton;Mempelajari budaya lewat kraton, cocok untuk dikunjungi bersama keluarga
Robby Arglen;3 tahun lalu;Positif;Museum Keraton;Wisata budaya yg wajib d kunjungi klo ke madura
jacky black;3 tahun lalu;Positif;Museum Keraton;Tempat Untuk Belajar sejarah tentang Sumenep dan keindahan alamnya
Info Tour;3 tahun lalu;positif;Museum Keraton;Tempat peninggalan raja2 masa lalu di tanah madura ujung timur
Aulia Rahmawati;3 tahun lalu;Positif;Museum Keraton;Recomended utk didatengin. Guide nya jga koepratif
Adam Irawanto;3 tahun lalu;positif;Museum Keraton;Muanteb, buat ngopi pinggir jalan ada angkringannya
Deden YA (Deden SL);3 tahun lalu;positif;Museum Keraton;Sejarah sumenep
mustika pusaka;3 tahun lalu;Positif;Museum Keraton;Tempat yg penuh dg sejarah
Angga Surya;3 tahun lalu;positif;Museum Keraton;Belajar sejarah tidak pernah membosankan
Zen Zinedin;3 tahun lalu;positif;Museum Keraton;Tempat bersejarah yang patut kita pelihara
Iwan Prasetio;3 tahun lalu;Positif;Museum Keraton;Bagus
Hernandez 90;3 tahun lalu;positif;Museum Keraton;Deket taman adipura dan masjid jamik kota sumenep
yudhi kurniawan;3 tahun lalu;positif;Museum Keraton;Apik
Abi A H M;3 tahun lalu;positif;Museum Keraton;Tempat penting dan bersejarah di kabupaten sumenep
Saptaa Cool;3 tahun lalu;positif;Museum Keraton;Kerreennn wisata peninggalan raja kuno kota Sumenep
Amir Hamzah Maricar;3 tahun lalu;Positif;Museum Keraton;Tempatnya oke , sejarahnya kental
Aly yy89;3 tahun lalu;positif;Museum Keraton;Tempat sejarah madura. Shususnya sumenep
NANDA HARRIRI;3 tahun lalu;Positif;Museum Keraton;Mesjidnya indah peninggalan keraton sumenep
jelajah sumenep;3 tahun lalu;Positif;Museum Keraton;Tempat yang bagus untuk belajar tentang kebudayaan
SYARIF HIDAYAT;3 tahun lalu;positif;Museum Keraton;Menarik untuk selalu dikunjungi..
ACH FATHONI;3 tahun lalu;positif;Museum Keraton;Tempat sip dan enak makananya
JAGRA Channel;3 tahun lalu;positif;Museum Keraton;Tempat bersejarah
Moh Rijal;3 tahun lalu;Positif;Museum Keraton;musium keraton sumenep madura penuh sejarah
Rhicard Adinata;3 tahun lalu;Positif;Museum Keraton;Bagus tempat baik untuk pariwisata
FENIF STUDIO;3 tahun lalu;positif;Museum Keraton;Mengetahui sejarah
N. Pusdianto;3 tahun lalu;Positif;Museum Keraton;Asiikkk untuk edukasi tentang Sejarah sumenep,...
[WL]? !-! ? ? ? ! ? ? ? ? ?;3 tahun lalu;Positif;Museum Keraton;Bersih dan tempat orang berwisata
Mohammad Harun;3 tahun lalu;positif;Museum Keraton;Museum keraton sumenep yang penuh sejarah
riskie wigunawan;3 tahun lalu;positif;Museum Keraton;tempat bersejarah
Channel Ringan;3 tahun lalu;positif;Museum Keraton;Sukak
Arifaldo Chanel;3 tahun lalu;Positif;Museum Keraton;Rumah
Misbahul Amin;3 tahun lalu;Positif;Museum Keraton;Transaksi mbl gren livina brooo
The Spectrum;3 tahun lalu;positif;Museum Keraton;Sangat luar biasa
Sugi Yono;3 tahun lalu;positif;Museum Keraton;Tempat kelahiran orang tua saya
Ilham Alayubie;3 tahun lalu;positif;Museum Keraton;Bisa belajar sejarah
SYAIFUL HIDAYAH;3 tahun lalu;Positif;Museum Keraton;Bagus dan keren
muhammad rizaldy;3 tahun lalu;positif;Museum Keraton;Tempat wisata tradisional
budi “Gus iwan” set;3 tahun lalu;Positif;Museum Keraton;Tempat bagus dan rindang
Cak Indro TV Channel;3 tahun lalu;positif;Museum Keraton;Koleksinya kurang banyak
Ris Saiman;3 tahun lalu;Positif;Museum Keraton;Tempatnya adem
QiQi Production;3 tahun lalu;Positif;Museum Keraton;bagussss..indah..
MasAmin Cokro;3 tahun lalu;Positif;Museum Keraton;Peninggalan sejarah Sumenep
DEFI EKOSULISTYONO;3 tahun lalu;positif;Museum Keraton;Kondisi bersih dan asri
Mohammad Rizal;3 tahun lalu;Positif;Museum Keraton;Wajib dikunjugi
Andre Eka;3 tahun lalu;Positif;Museum Keraton;Bagus dan legend
Deka Bagus Candra;3 tahun lalu;Positif;Museum Keraton;Bagus dan rekomended
Fitri Afriyanti;3 tahun lalu;positif;Museum Keraton;Assalamu'alaikum wr wb
arrofi Hidayat;3 tahun lalu;Negatif;Museum Keraton;Sangat kotor
Mohammad hambal Alfariz;3 tahun lalu;positif;Museum Keraton;Tempat benda pusaka keraton Sumenep
Bahri a botoling;3 tahun lalu;positif;Museum Keraton;Peninggalan raja kraton sumenep
Imam Sucipto;3 tahun lalu;Positif;Museum Keraton;Keren
Kabol Marhaen;3 tahun lalu;Positif;Museum Keraton;Bagus
Abd Aziz;3 tahun lalu;Positif;Museum Keraton;bengkel faforit
musfik alamsyah;3 tahun lalu;Positif;Museum Keraton;Keren
Parto 123;3 tahun lalu;Positif;Museum Keraton;Pengen tahu
Mas Ubay;3 tahun lalu;Positif;Museum Keraton;Bagus
denz anarcy;3 tahun lalu;positif;Museum Keraton;mantull
Nining Hariati;3 tahun lalu;Positif;Museum Keraton;Bagus
kakek gaming;3 tahun lalu;positif;Museum Keraton;Good tempat
INPSNGMohammad Fathin;3 tahun lalu;positif;Museum Keraton;batik dikunjungi
JawaRa Hidroponik (Lihan JawaRa);3 tahun lalu;Positif;Museum Keraton;Bersejarah
Homaidi El-Kamarizaaman;3 tahun lalu;positif;Museum Keraton;Mantap....
ASEP SUDRAJAT;3 tahun lalu;positif;Museum Keraton;Sejarah Sumenep
Tohawi Alby;3 tahun lalu;positif;Museum Keraton;Sip
destri irianto;3 tahun lalu;positif;Museum Keraton;Mengunjungi kraton sumenep
Sultan _2000;3 tahun lalu;positif;Museum Keraton;Mengesankan
Rosi Zero;3 tahun lalu;positif;Museum Keraton;sempurnaaa
