user;waktu;Sentimen;lokasi;komentar
Nurdin Rizqiansyah;2 tahun lalu;Positif;toron simalem;"Bagus bersih dan indah...
Htm 15k/org"
Imam Al hijamah;sebulan lalu;Positif;toron simalem;Bingung jalan masuknya masih sempit, tapi seru dan masih alami.
Annatus Sholehah;2 bulan lalu;Positif;toron simalem;Skrg sih sepi, gak tau juga hari lain se ramI apa..
ari nur;5 bulan lalu;Negatif;toron simalem;Tiket masuk terlalu mahal krn tdk sesuai kondisi perekonomian setempat
Didik Agus Prayitno;3 tahun lalu;Positif;toron simalem;Bagus buat selfi selfi, ayo kunjungi  kampoeng wisata toron semalem....
Aynul92;5 tahun lalu;Positif;toron simalem;Tempat wisata dgn suasana yg masih alami dan udara yg sejuk
Zainur Rohman;3 tahun lalu;Positif;toron simalem;Menengkan pikiran
Shinta Embem;4 tahun lalu;Positif;toron simalem;Berawal dr legenda potre koneng yg bermalam disini
haris sudarsono;5 tahun lalu;Positif;toron simalem;Kampung wisata toron samalem merupakan destinasi wisata yang ada dikota pamekasan...yang terletak di desa blumbungan...tempatnya yang bagus dengan  bentuk rumah sperti di papua menjadi tmpat spot foto yg menarik untuk dikunjungi...
Basri Art;3 tahun lalu;Positif;toron simalem;Kampoeng toron samalem di buat menurut cerita kampung itu sendiri,, yg dmn dulu pernah ada seorang putri minta turun semalam di kampung tersebut, sehingga orang kampung yg ada di sana memberi nama kampoeng toron samalem
Mas Ron Berbagi (Maz Ron);3 tahun lalu;Positif;toron simalem;Tempatnya cocok buat hunting dan pre-wedding
AS2 PROJECT - Ach Safee;3 tahun lalu;Positif;toron simalem;Tempat mancing kami dulu disini, tapi sekarang ikannya sudah punah hhmmm
Sur Yadi;7 bulan lalu;Positif;toron simalem;Alhamdulullah wes lebh maju dan tempatnya lbh asyik buat tempat rekreasi keluargs
Misli Yanto;setahun lalu;Positif;toron simalem;"Parkir sepeda motor Rp. 3000
Tiket masuk Rp. 15.000 per orang
Minimal tinggi 1mtr"
Fitriatul Maghfiroh;3 tahun lalu;Positif;toron simalem;Dulu sih pas wisata kesini masih belum selesai,masih dalam tahap penyelasaian.kalau untuk skrg insyaallh sudah ok banget
anis sulalah;4 tahun lalu;Positif;toron simalem;Tempat wisata yang pas saat musim panas, sangat natural dan alami. Cocok untuk liburan keluarga ato bersama teman
Mz Izam;3 tahun lalu;Positif;toron simalem;Tempat yg pas buat rekreasi
syaiful abbas;2 tahun lalu;Positif;toron simalem;Tempatnya bagus
Firman Dirgantara;3 tahun lalu;Positif;toron simalem;Tempat wisata yang cocok untuk bersantai bersama keluarga...
Muiz Delavega;sebulan lalu;Positif;toron simalem;Sudah tidak terawat untuk 2023
Mia Yasin;2 tahun lalu;Positif;toron simalem;Bagus....  Memanfaatkan lokasi yg tak terpakai,  indah....  Dsini serasa d jepang sebelah selatan,, hehehehe
bagus winanta;3 tahun lalu;Positif;toron simalem;Tempat wisata yang menarik dan alami, cocok untuk bersantai untuk keluarga
Fathor Rosi;2 tahun lalu;Positif;toron simalem;Salah satu wisata yg bagus di pamekasan
Jamilatul Hasanah, 087860373056, HASANAH GROUP;4 tahun lalu;Positif;toron simalem;Tempat wisata yg bagus
Yusnita Ratih;3 tahun lalu;Negatif;toron simalem;Belum sampai lokasi harus putar balik pulang karena akses menuju lokasi sulit dijangkau dengan mobil mpv. Semoga pemerintah setempat segera membangun jalan yg lebih mudah dilewati menuju lolasi ini.
arul washil;2 tahun lalu;Negatif;toron simalem;Masuknya murah, spot fotonya juga bagus walaupun gabanyak. Tp sayang kurang dirawat karna banyak bgt sampah berserakan di air gitu
Ramli Fawaid;3 bulan lalu;Negatif;toron simalem;Akses jalan tidak memadai?? …
Rudy Error87;3 bulan lalu;Positif;toron simalem;Bagus n nyaman
Dullatëp;4 tahun lalu;Positif;toron simalem;Unik dan cukup menarik namun perlu dikembangkan lagi.
de as;4 tahun lalu;Positif;toron simalem;Sekarang lebih cantik dengan adanya tiruan bunga sakura pink. Pamekasan rasa Jepang. Saya sangat tertarik untuk mengajak teman-teman kesana lagi. Ada akun instagramnya juga loo.. …
Nurul Hidayat;3 minggu lalu;Positif;toron simalem;Seru juga
Akhmad Damanhuri;2 tahun lalu;Positif;toron simalem;Tempat wisata murah meriah
slamet budiono;4 tahun lalu;Negatif;toron simalem;Ticket terlaku mahal untuk tempat wisata seperti ini. Tarif parkir juga mahal. Pagar kurang tinggi tdk memperhatikan keselamatan pengunjung
Supriono Supri;setahun lalu;Positif;toron simalem;T4 wisata alami bekas galian batu kapur. Ada pemandian rumah2an okoknya mantap.
zamirah saleh;3 tahun lalu;Positif;toron simalem;Tiket nya mahal sekarang gak sesuai dengan fasilitas, mahal tapi fasilitas bagus masih enak, ini ad kolamnya tapi gak ad kamar mandi nya buat ganti, toilet umumnya jga gak ad buat mau pipis anak kecil ato dewasa sama aj harga tiketnya
Ilham Ramadani;2 tahun lalu;Positif;toron simalem;Wisata ini merupakan wisata yang bertemakan alam dengan dipenuhi pohon-pohon di sekitarnya
Ana Wahyudi;4 tahun lalu;Positif;toron simalem;Semoga tempat wisata yg ada di madura tetep terjaga asri dan selalu bersih,mohon untuk menyediakan tempat sampah agar tetap terjaga kebersihannya?? …
Sutrisno Trisno;2 tahun lalu;Positif;toron simalem;Suasananya indah dan nyaman
Budi Sanjaya;3 tahun lalu;Positif;toron simalem;Tempatnya bagus & bersih. Lebih baik kesini pagi atau sore hari. Siang hari panas sekali d sini. Tempatnya kurang luas...
A Creator;2 tahun lalu;Positif;toron simalem;Mantap untuk wisata
Raka Wati55;2 tahun lalu;Positif;toron simalem;Masih belum sempat ke tempat ini, tapi yakin tempatnya itu begitu bagus.. Bintang 5 untuk kampoeng toron semalem ini, rencana weekend akan kesini.
Just Skip;5 tahun lalu;Positif;toron simalem;Lumayanlah . Cuma sebagai informasi , saya sudah dua kali kesana . Pertamanya cuma bayar uang parkiran seharga 3k . Kedua kalinya di jalan masuk di mintai uang jalan(katanya seikhlasnya saja . Tapi minta seribu dua ribu . Kan aneh . …
Nurul Fajar;3 tahun lalu;Positif;toron simalem;Senang berusaha di sini orang nya ramah baik
INTER MILAN;8 bulan lalu;Positif;toron simalem;Mamtap bosqu
OeLUM Project;4 tahun lalu;Positif;toron simalem;Pemandangannya bagus.. bunga-bunganya juga indah.. saya suka tempat ini..???? …
Queen Ai Ni Rhusland;3 tahun lalu;Negatif;toron simalem;Mahal bayar tempatnya kurang banyak
A. I. R MUMTAZ;4 tahun lalu;Positif;toron simalem;Wahana wisata baru yg ada di pamekasan tepat ke utara kota Pamekasan jalur utama menuju pakong waru sebelah kanan setelah  blumbungan
Mazvil Channel;3 tahun lalu;Positif;toron simalem;Lumayan bagus,
huzair tarmizi official;4 tahun lalu;Positif;toron simalem;Tiket masuk 10rb, akses jalan masuk masih blom di aspal. Tempatnya bagus ???? …
Toto Hartoko;3 tahun lalu;Positif;toron simalem;Tempat yang pas dengan low budget
Nur Rohim;4 tahun lalu;Positif;toron simalem;Sangat bangus buat wisata
Abd Rohman Fdl;4 tahun lalu;Positif;toron simalem;Pemandangan hutan yang paling sering kita temukan
Homaidi El-homaidi;setahun lalu;Positif;toron simalem;Tempat wisata yang bernuansa alami, cocok untuk refreshing
ACH. SUNARDI;4 tahun lalu;Positif;toron simalem;Salah satu dari tempat wisata di kota Pamekasan
Yahya Kebunpao;3 tahun lalu;Positif;toron simalem;Sederhana tapi bagus dan mudah dijangkau lokasinya
Muhally Ok;4 tahun lalu;Positif;toron simalem;Bagus suasana hutan
Halili Mohammad;setahun lalu;Positif;toron simalem;Cocok weekend keluarga
Kahir 2020;9 bulan lalu;Negatif;toron simalem;Tiket kemahalan makanya sepi pengunjung
ROSSY 46 (Rossy);3 tahun lalu;Positif;toron simalem;Pemandangannya sangat bagus
Siyi Jaya;3 tahun lalu;Positif;toron simalem;Wisata indah sayangnya Karcis masuk terlalu mahal
Ibnu Royhan;sebulan lalu;Positif;toron simalem;baik
Zacky Rizand;2 tahun lalu;Positif;toron simalem;Wisata yang cukup diperhitungkan bagi para fotografer
Sodik Sodik (Saifus);4 tahun lalu;Positif;toron simalem;Tempat bersantai
Indah Safarina;4 tahun lalu;Positif;toron simalem;Masih asri. Mungkin krn baru buka. Harus tetap dijaga keasrian dan kebersihannya.
MMaklum Maklum;3 tahun lalu;Positif;toron simalem;Pemandangan yg cukup indah
Kamilul Himam;3 tahun lalu;Positif;toron simalem;Bagus, Perlu banyak pembenahan
IMAM GAZALI;2 tahun lalu;Positif;toron simalem;Semakin mantap
Khairul Fatin;4 tahun lalu;Positif;toron simalem;Bagus sekali
Qomar_99;2 tahun lalu;Positif;toron simalem;Tempatnya bagus cocok bngett buat refreshing
Dimas Arisandi;setahun lalu;Positif;toron simalem;Tempat bersih aman
Risa Suryani;setahun lalu;Negatif;toron simalem;Tiketnya terlalu mahal
Darah Langit;3 tahun lalu;Positif;toron simalem;Sip kembangkan, pertahankan...
khoirul umam;3 tahun lalu;Positif;toron simalem;Sangat menyenangkan
Green Bohlam;4 tahun lalu;Positif;toron simalem;Perlu ditingkatkan untuk hal ini
Khalilur Rahman A;4 tahun lalu;Positif;toron simalem;Bagus , nyaman dan bersih
Ardi Firmansyah;4 bulan lalu;Positif;toron simalem;Baik
Kabar Viral;4 tahun lalu;Positif;toron simalem;Memanjakan mata.
Retnol Huda;11 bulan lalu;Negatif;toron simalem;Kurang terawat
asid vandorezzz43;5 bulan lalu;Positif;toron simalem;Indah bnget
M. MASYHURI;setahun lalu;Positif;toron simalem;Lumayan bagus dan indah
Dayat Nurul;4 tahun lalu;Negatif;toron simalem;Fasilitas perlu di lengkapi
Achmad Fahrizal;2 tahun lalu;Positif;toron simalem;Cocok untuk liburan bareng keluarga
Holis Anwar;4 tahun lalu;Positif;toron simalem;Menyenangkan
Story Bola;4 tahun lalu;Positif;toron simalem;Tempat wisata yg unik vroh
Mahfudz Ealsem;3 tahun lalu;Positif;toron simalem;Sangat indah
MOH ARIFIN;setahun lalu;Positif;toron simalem;Mantap tempat wisatanya
fendi_bmw;setahun lalu;Positif;toron simalem;Bagus untuk menghilangkan penat
Mu' tiyah;3 tahun lalu;Netral;toron simalem;agak pedalaman sih
Dwi Santi;2 tahun lalu;Negatif;toron simalem;Disana banyak ularnya
Rudy Siregaz47;11 bulan lalu;Positif;toron simalem;Tempat yang bagus
Shofie Ahmad;2 tahun lalu;Positif;toron simalem;Sebelum jadipun saya sudh kesana
AYAH & NDA GIBRAN;10 bulan lalu;Positif;toron simalem;Mantap
Alunk Herkules;4 tahun lalu;Positif;toron simalem;Disini Sejuk
Agus Salim;10 bulan lalu;Positif;toron simalem;Senang
Zai Friday;10 bulan lalu;Positif;toron simalem;Seru
Ainul Yaqin;4 tahun lalu;Positif;toron simalem;Karena bisa menambah informasi
Agus Anang;3 tahun lalu;Positif;toron simalem;Ini pariwisata toron samale dari madura
RANDY MUSIC_23;setahun lalu;Positif;toron simalem;Enak banget
Sidik Ahmad;3 tahun lalu;Positif;toron simalem;?? …
AyLa fawaid;3 tahun lalu;Positif;toron simalem;?? …
Rasyid Sofie;4 tahun lalu;Positif;toron simalem;Menarik
Sitti Sitti Aisyah;9 bulan lalu;Positif;toron simalem;Bangunan arsitektural
Mohammad Warid Khoironi;5 tahun lalu;Positif;toron simalem;Lumayan membantu
Agues Bryant;4 tahun lalu;Positif;toron simalem;???????? …
Abing Tralala;11 bulan lalu;Positif;toron simalem;Serru bangett ?????? …
sulaiman idris;setahun lalu;Positif;toron simalem;Bagus
Zaenal Abidin;4 tahun lalu;Positif;toron simalem;Unik menarik
alfan hidayah;2 tahun lalu;Positif;toron simalem;lumayan
OPERATOR PENDIDIKAN OFFICIAL;2 tahun lalu;Positif;toron simalem;Mantap
AGUS Syaiful Rachman;2 tahun lalu;Positif;toron simalem;Indah
DG 63;3 tahun lalu;Positif;toron simalem;Akurat
Set Buter;3 tahun lalu;Positif;toron simalem;Alami
Wildan Firdaus;3 tahun lalu;Positif;toron simalem;Keren
Bang Haji;3 tahun lalu;Positif;toron simalem;Mantul
novaila nacyla;4 tahun lalu;Positif;toron simalem;Kampungku
home . id;4 tahun lalu;Positif;toron simalem;Lebur
Joni Humaidi;4 tahun lalu;Positif;toron simalem;Kerenn
Jida Uciha;3 tahun lalu;Positif;toron simalem;Lumayan
Arjuna Ronin;3 tahun lalu;Positif;toron simalem;Bagus
Moapi Kasrakas;3 tahun lalu;Positif;toron simalem;Indah
Andi Kuadrat;4 tahun lalu;Positif;toron simalem;Keren
kurdi smapa;3 tahun lalu;Positif;toron simalem;Bagus
Fariz iqbal;4 tahun lalu;Positif;toron simalem;lumayan
KomankZQ Azzaman;4 tahun lalu;Positif;toron simalem;Lumayan
Abdul Gaffar;4 tahun lalu;Positif;toron simalem;Bagus
????? ?????? ?????;3 tahun lalu;Positif;toron simalem;Lumayan
Mld Djarum super;3 tahun lalu;Positif;toron simalem;Bagus
Toifur Rohman;3 tahun lalu;Positif;toron simalem;Bagus
dedy bendot;4 tahun lalu;Positif;toron simalem;Keren
M. Imam Rafiki;6 hari lalu;Positif;toron simalem;Wah
Riza Suryandari;4 tahun lalu;Negatif;toron simalem;Harus berhati-hati saat berkunjung. Rutenya agak bergelombang. Tidak yakin apakah Anda bisa pergi dengan mobil. Anda mungkin bisa, tetapi Anda harus parkir agak jauh dari tempat itu.
Syahrul Gunawan;4 tahun lalu;Negatif;toron simalem;Itu tidak baik
Aprie;2 tahun lalu;Positif;toron simalem;Wisata sederhana di pulau Madura
Agus Salim;3 tahun lalu;Positif;toron simalem;Tempat wisata favorit saya
Yuniar Ahmadani;setahun lalu;Positif;toron simalem;Tempat yang sangat bagus, mirip bali tetapi dengan kearifan lokal
YASPI Sabilul Huda Sumber Nangka Pamekasan;4 tahun lalu;Positif;toron simalem;Gi ta'depa'
Dyah Kusuma Susanti;4 tahun lalu;Positif;toron simalem;Tempat unik di Pamekasan
M. Faridi;3 tahun lalu;Positif;toron simalem;Panorama yang indah
Arif Widodo Pratama (Ido);3 tahun lalu;Positif;toron simalem;Lumayan baik.
NUR PRAYOGO;4 tahun lalu;Positif;toron simalem;Tempat yang bagus
Mohammad Farhan Akbar;7 bulan lalu;Positif;toron simalem;DAN
Saiful jabejo;4 tahun lalu;Positif;toron simalem;Atas
iM sticker pamekasan;3 tahun lalu;Positif;toron simalem;Jenius 07
Sohihul Islam;3 tahun lalu;Positif;toron simalem;Ini bagus
haryono Pratama;4 tahun lalu;Positif;toron simalem;Yang terbaik
Abdul Malik;setahun lalu;Positif;toron simalem;Sudahlah
Ade Alviana Putri;2 tahun lalu;Positif;toron simalem;Kereeen
Mohammad Ihsan;3 tahun lalu;Positif;toron simalem;Bagus
Maman Odienkz;4 tahun lalu;Positif;toron simalem;uiya
Mubarak Syam;3 tahun lalu;Positif;toron simalem;Porkelap deiyeh ?? …
Mulya Ilzami;4 tahun lalu;Positif;toron simalem;Siiiip
murshad murshad;5 tahun lalu;Positif;toron simalem;serru
Team BTM;2 tahun lalu;Positif;toron simalem;Bagus
badan cyber sandi negara;3 tahun lalu;Positif;toron simalem;Bagus
