user;waktu;Sentimen;lokasi;komentar
Ikabhiy Ikabhiy;4 tahun lalu;Positif;bukit tinggi daramista;Wewwww ini adalah tempat wisata di Sumenep yang gak kalah hitz lo gaes sama tempat wisata di Malang ataupun Yogyakarta. Rumah pohon, ada. Rumah kurcaci, ada. Sepeda di atas awan, juga ada. Jalan nya agak berliku. Tapi aksesnya aku saranin …
rokhim wahyudi;4 tahun lalu;Positif;bukit tinggi daramista;Kalo liat foto2nya kelihatan bagus, tapi kenapa pas langsung datang ke TKP kondisinya sudah ngga sebagus di fotonya, kayak ngga terawat. Padahal pemandangan nya bagus
DAT.;4 tahun lalu;Positif;bukit tinggi daramista;Tempatnya semakin KECE banyak spot Instagramable yang Kekinian disini. Puas banget pokoknya...
Laksmi's Corner;4 tahun lalu;Positif;bukit tinggi daramista;Datang kesini kebetulan mepet maghrib, jadi kurang begitu puas karena semua wahana sudah tutup tinggal beberapa saung yang sebenarnya asyik untuk tempat nongkrong.. Nanti kalau sudah kesini lagi saya review lagi.. ?? …
Sulthan Shalahuddin;4 tahun lalu;Positif;bukit tinggi daramista;Tempatnya bagus sangaaat. Terus murah. Cuma jalannya aja yang kecil.
TINTA PENA;4 tahun lalu;Positif;bukit tinggi daramista;"Banyak view yang keren banget,  ga kalah de sama tempat wisata lain, tapi sayangnya ada beberapa spot foto yang ga dibuka, entah karna alasan apa saya pribadi kurang tau.
Tapi keren kok, good!!!"
Story Melodi;4 tahun lalu;Negatif;bukit tinggi daramista;wisata yg cukup potensial, apalagi jika lebih diperhatikan oleh pemerintah, terkait akses jalan cukup sempit, tiket masuk terlalu mahal karena tdk didukung dengan fasilitas yg memadai..
Budi Hidayat;4 tahun lalu;Positif;bukit tinggi daramista;Boekit Tinggi Daramista adalah salah satu wisata alam yang terletak di kabupaten Sumenep, Madura. Wisata alam ini merupakan sebuah bukit yang telah di modifikasi agar telihat lebih indah dan menarik. Boekit Tinggi Daramista seakan membuka mata para pengunjung untuk menyaksikan keindahan bumi Sumenep yang menghampar didepan mata.
Dina Anggraeni;4 tahun lalu;Positif;bukit tinggi daramista;cocok untuk menikmati semilir angin di siang atau sore hari. lokasinya mudah dijangkau, pemandangannya bagus, fasilitas memadai, ada spot foto yg instagramable tp mainstream sih. hehe. tp sayang kurang luas area wisatanya.
Yoel Dwi Putra Gultom;4 tahun lalu;Positif;bukit tinggi daramista;Rapi, bersih, dan cocok buat spot foto foto. Tiket masuk juga terbilang terjangkau. Wahana terlihat sangat bagus dan kreatif. Namun sayangnya spot ini tidak cocok buat pecinta sunset. Karena lokasi foto yang tidak sesuai
Egaa yanuar;4 tahun lalu;Positif;bukit tinggi daramista;viewnya bagus saran aja jangan siang hari kesini panas banget
Mustika Maduratna;4 tahun lalu;Positif;bukit tinggi daramista;Tempat yang indah untuk berlibur bersama keluarga, ada banyak spot foto menarik
Suri Channel 77;4 tahun lalu;Positif;bukit tinggi daramista;Suasana bukitnya sangat aduhai dengan pemandangan laut dan pernak pernik Lambu di malam hari
nurul imaniyah;4 tahun lalu;Positif;bukit tinggi daramista;Tempatnya bagus hanya saja kemaren pas ksana kecewa, biasanya kan katanya ada fotografernya gitu yg bisa fotoin. Lah ternyata gak ada.
Syaiful Bahri;4 tahun lalu;Positif;bukit tinggi daramista;Menawarkan edukasi wisata bernuansa alam yang masih hijau, segar, dan nyaman. Harga tiket murah dan objek foto bagus. Sipp lah
Aerafarm;4 tahun lalu;Positif;bukit tinggi daramista;Tempatnya bagus, tapi lebih bagus kalau berkunjung siang hari. Sayangnya saya kesana pada waktu malam jadi tidak bisa menikmati keindahannya.
Mohammad Faishol;4 tahun lalu;Positif;bukit tinggi daramista;Ya paling enak ke sana saat sore hari, karena kalau siang sangat panas, jalannya menuju ke sana nyaman...
Syamsul Arifin;4 tahun lalu;Positif;bukit tinggi daramista;Masih kurang lengkap dan renovasi belum di lanjutkan
Aviv Cah Semprul;4 tahun lalu;Positif;bukit tinggi daramista;Tempatnya asyik buat manjakanbdan nenangin diri
Indri Yani Sst;4 tahun lalu;Positif;bukit tinggi daramista;@bukit yinggi daramistah yg terletak di sumenep city.
Mas Waie;4 tahun lalu;Positif;bukit tinggi daramista;Alhamdulillah pemandangannya lumayan indah
Hiza Ra;4 tahun lalu;Negatif;bukit tinggi daramista;ternyata 'paket selfie' hanya ber-zona kecil. saya pikir zona nya luas bgt, trus yg tiket biasa cuma sedkit spot nya.. …
Obat Hati;4 tahun lalu;Positif;bukit tinggi daramista;Keren bagus ?? ternyata di Sumenep juga ada tempat wisata bagus …
Imam Rusli;4 tahun lalu;Positif;bukit tinggi daramista;Tempat wisata pegunungan yang sangat populer di kalangan masyarakat dan wahana bermain untuk para penantang ketinggian, banyak tempat berswafoto atau selfie, romantis sejuk di malam hari dengan lampu kelap kelip yang menerangi, tersedianya …
saifron kasiati;4 tahun lalu;Positif;bukit tinggi daramista;Bukit berbatu kapur yang masih terus dikembangkan ini indah sekali dengan view ke pemukiman dibawahnya, serta langit yang serasa dekat di atas kepala. Ada beberapa spot selfie dan 2 arena  untuk memacu adrenalin. Tiket masuk 5k, tiket spot selfie 15k, sepeda di atas tali 20k, flying fox 2k. Cobain yuukkk.
Sefri;4 tahun lalu;Positif;bukit tinggi daramista;Tempat yang bagus, jarang ada dataran tinggi di madura, bisa melihat sampai ke laut, pemandangan sunsetnya juga menawan. Hanya butuh lebih banyak pengembangan. Jalanan ke lokasi cukup sempit
Alfan Candra Yofita;4 tahun lalu;Positif;bukit tinggi daramista;Bukit tinggi, Sumenep madura... Super Mantap
Dharma Kurniawan;4 tahun lalu;Positif;bukit tinggi daramista;Tempat rekreasi yg cukup instagramable, buat OOTD, Foto Prewedding maupun Wedding Outdor. Jarak tempuh sekitar 20 menit dari jantung kota Sumenep menuju arah desa Daramista Kecamatan Lenteng, awalnya tempat ini sepi kemudian 2 tahun …
PUJI SULISTIOWATI;4 tahun lalu;Positif;bukit tinggi daramista;Bagus,Masi dalam perkembangan..!!
Wian Galo;4 tahun lalu;Positif;bukit tinggi daramista;Pemandangan yg indah dan sejuk...
maulidatul kamilah;4 tahun lalu;Positif;bukit tinggi daramista;Pemandangan sangat bagus cocok untuk foto2 nge hits, tpi kekurangannya di parkiran karena keamanannya kurang. Helm temen sy pas kesana hilang
Jelista Wilyantari;4 tahun lalu;Positif;bukit tinggi daramista;Karena tempatnya nyaman untuk santai bersama keluarga,, bnyak spot foto yg unik dan instagramable banget,,, dan pemangdangannya laut yg terbentang
Abd Hadi;4 tahun lalu;Positif;bukit tinggi daramista;bagus tempatnya
Suherman Suherman;4 tahun lalu;Positif;bukit tinggi daramista;cocok untuk rekreasi keluarga
Sujono;4 tahun lalu;Positif;bukit tinggi daramista;Berada di dataran tinggi kabupaten sumenep. Dengan tiket masuk Rp. 10.000,- untuk hari biasa. Terdapat wahana rumah pohon yang cocok untuk berfoto.
bambang h ridwan;4 tahun lalu;Positif;bukit tinggi daramista;"Wahana wisata alam di atas bukit,
Sdh lumayan memacu adrenalin,
Namun masih kurang banyak alternatif permainannya"
Debie Wijaya;4 tahun lalu;Positif;bukit tinggi daramista;Tempat wisata anak muda dan keluarga terutama yang hobby foto narsis dan selfie dengan latar belakang bangunan2 dekorasi yg instagramable.
gita bakti usada;4 tahun lalu;Positif;bukit tinggi daramista;"Pemandangan sangat bagus..
Akses masuk sangat sempit..
Cukup sulit bagi kendaraan roda empat untuk masuk.."
Oonkz Froeza;4 tahun lalu;Positif;bukit tinggi daramista;Tempat wisata yang bagus dan harga tiket yang murah banget dan di lengkapi dengan permainan dan istagramebel banget
Fian Wibowo;4 tahun lalu;Positif;bukit tinggi daramista;Pemandangan bagus, sayangnya terskhir kesana malah jadi tempat mojok
Idrisi Idrisi;4 tahun lalu;Negatif;bukit tinggi daramista;Lampu penerangan jalan kurang
Marcia Nursiani;4 tahun lalu;Positif;bukit tinggi daramista;Spot foto keren!!
