user;waktu;Sentimen;lokasi;komentar
Finaira Kara;4 tahun lalu;Positif;gili labak;Dari pelabuhan, perjalanan menggunakan perahu sekitar 2 jam yang cukup untuk membuat mual. Apalagi dengan arusnya, yang tidak kencang tetapi juga tidak tenang. Tapi, dari perjalanan itu terbayar dengan kawasan wisata di Gili Labak. SPot …
Octaveani Tiono;4 tahun lalu;Positif;gili labak;"Airnya masih bersih dan jernih.. selain itu pasirnya juga masih bersih dr sampah.
Cocok banget buat spot foto di pinggir pantai. …"
Ato Lawanglangit DIY;4 tahun lalu;Positif;gili labak;Dari Surabaya perjalanan darat sekitar 5 jam ke Pelabuhan Kali Anget, disarankan berangkat malam hari sehingga sampai di Pelabuhan kali anget sekitar jam 5 pagi. Dilanjutkan perjalanan via kapal kecil (boat) sekitar 2 jam. Disarankan …
Ansorieee Wiki;4 tahun lalu;Positif;gili labak;Gili labak sangat indah, pasirnya putih dan karangnya sangat terjaga keindahannya, walaupun perjalanannya lumayan jauh dari sby ke sumenep tapi sangat puas pergi ke gili labak, terimakasih juga kepada @sumenep tour 86 atas pelayanannnya
Irka Wardani;4 tahun lalu;Positif;gili labak;Bagus tempatnya pasirnya putih , nyebrang dari pelabuhan ke pulau Gili Labak kurang lebih 2 jam , tempat yg cocok untuk snorkeling
Dodie Satriyana;4 tahun lalu;Positif;gili labak;Cukup jauh memang.. tapi terobati dengan view dll nya..
pintu ajaib;4 tahun lalu;Positif;gili labak;Tiket masuk ke sini 5 rb per orang. Dapat di tempuh naik perahu dari pelabuhan kalianget sumenep ke pulau gili labak selama 2 jam
Reine Salencana;4 tahun lalu;Positif;gili labak;Tempatnya bagus, pantainya masih asli, ikannya banyak sampe ke tepi pantai dan bervariatif warnanya
Bagus Wijonarko;4 tahun lalu;Positif;gili labak;Tempat yang masih asri dan rekomended banget buat ngisi liburanmu ga akan nyesel deh
Yendi Laksono;4 tahun lalu;Positif;gili labak;Pemandangan sangat indah mirip di lombok
lazmy;4 tahun lalu;Positif;gili labak;Oksigen terbaik
N. Pusdianto;4 tahun lalu;Positif;gili labak;Wowwww,,,, tempat untuk refresing yang paling wowww ,,,,...
widisucahyo sucahyo;4 tahun lalu;Positif;gili labak;Keren beautiful
Ari Setiadi;4 tahun lalu;Positif;gili labak;Pantai menakjubkan lain …
Yuli Isfiyah;4 tahun lalu;Positif;gili labak;Tempat yang tak ter …
Fourth 97;7 bulan lalu;Positif;gili labak;pasir putih
Koplak Lemoet;8 bulan lalu;Positif;gili labak;Seru,
Nila Kusuma;9 bulan lalu;Positif;gili labak;Bagus bangetttt! Worth it bgt dg perjalanan yg jauh ?? Kesana pas libur natal jd sepi, anginnya kenceng, tp gapapa tetep bagus, pertama kalo snorkling & jd pengalaman yg luar biasa ???? …
Nevita Prijono;setahun lalu;Positif;gili labak;"Berangkat dari Pelabuhan Kalianget, Sumenep open trip tarif @75.000 (30/07/2022) dapat fasilitas pinjam google, snorkel,  jaket pelampung, dan foto2 bawah air.
Kamu bisa reservasi perahu lewat …"
adhim;setahun lalu;Positif;gili labak;After a while gak ke pantai dan akhirnya ke ke pantai juga ??. Pulau ini kecil banget, cuma diisi 33kk dan sekelompok kucing begal (banyak banget kucing di sini woi, kurus kurus pula, kesian). Butuh dua jam perjalanan kapal buat ke pulau …
GRIYA HANIF;setahun lalu;Positif;gili labak;"Sebuah perjalanan antara hidup dan mati

Sebaiknya klo berniat untuk berkunjung ke tempat ini berangkat pagi saja biar …"
Defi purnama Wati;setahun lalu;Positif;gili labak;Pantai yang masih bersih, terumbu karangnya yang sangat indah dan tempatnya yg sunyi, sangat cocok untuk para pengunjung wisatawan untuk ber snorkling dan cocok untuk dijadikan tempat camping
satrio suryo prayogo;setahun lalu;Positif;gili labak;Masih asri dan nyaman. Para wisatawan wajib menjaga kebersihan dan kelestarian terumbu karang di sini
Anisa Zulfa Nurfaizah;setahun lalu;Positif;gili labak;Cocok untuk berwisata dengan keluarga, perjalanan juga rada susah karena harus menggunakan kapal, karena tempat ini adalah pulau, jadi memang transportasinya menggunakan kapal sekitar 2-3 jam-an.., tapi sampai sana tidak mengecewakan, …
Karina Safitri;setahun lalu;Positif;gili labak;Sangat seru perjalanannya
Lushi San;setahun lalu;Positif;gili labak;Bikin nagih.. masih pengen balik sini lagi
Ahmad Hawari;setahun lalu;Positif;gili labak;Tempat yg bagus untuk berwisata bersantai
Wulan Dari;setahun lalu;Positif;gili labak;perjalanan yang sangat menyenangkan....
Khoyum Khoyum;setahun lalu;Positif;gili labak;Oksigen terbaik didunia
Mochammad Sokhib;setahun lalu;Positif;gili labak;tempat snorkling
Teguh Santoso;setahun lalu;Positif;gili labak;Bagus
selia sabatini;setahun lalu;Positif;gili labak;Saya datang saat masih musim hujan, jadi karangnya tidak terlihat  …
Roni Setiawan;setahun lalu;Positif;gili labak;Pengalaman Pulau Tropis Terbaik dengan anggaran …
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
;;Netral;;
