user;waktu;Sentimen;lokasi;komentar
GrupINLimaSembilan TahunEnamBelas;3 tahun lalu;Negatif;Goa Soekarno;Prospek sebagai destinasi wisata ke depan hanya perlu    kelengkapan yang menunjang lainnya shg betul2 memanjakan pengunjung contoh mungkin kolam renang atau outbond dll
pakdhe ku;3 tahun lalu;Positif;Goa Soekarno;tempatnya bagus  
Bhazier 54;3 tahun lalu;Negatif;Goa Soekarno;Blum siap utk di louncing masih butuh pembenahan luar dalam khususnya akses ke lokasi dan tata letak area parkir yg kurang rapi
INJ PenaOficial;3 tahun lalu;Positif;Goa Soekarno;Merekomendasikan tapi tiket terlalu kemahalan.. dan jarak dari parkiran menuju goa sangat jauh sekali, namun  keindahan didalam goa soekarno mampu membalas semua kelelahan itu?? …
Faisal Faisal;3 tahun lalu;Positif;Goa Soekarno;Destinasi wisata yang sangat unik dan menakjubkan
Seafood Suplier;3 tahun lalu;Positif;Goa Soekarno;Instagramable.. HTM 15rb/orang dan parkir mobil 10rb , akses masuk sangat aman dan  mudah, kapasitas parkir mobil luas.
Hendrick Ben Matulessy;3 tahun lalu;Positif;Goa Soekarno;Tempat wisata yg dikelola dengan bagus. Cafe didalam goa menyediakan kopi yg cukup baik.
Bowo Sorela;3 tahun lalu;Positif;Goa Soekarno;Goa yg alami,parkir,toilet udah komplit,Di dlm gua ada kafe dan live music.Top markotop gua berlantai 3
rizal factur;3 tahun lalu;Positif;Goa Soekarno;Bagus tempatnya. Recommended
Indri Anggryini;3 tahun lalu;Positif;Goa Soekarno;Butuh waktu kira2 20memit buat sampe ke Goa Soekarno jika anda sdh ada di Pantai Salopeng Sumenep Madura. Good place  .nice place
Biker Insyaf;3 tahun lalu;Negatif;Goa Soekarno;Klo siang puanassss
Moh Holil;3 tahun lalu;Positif;Goa Soekarno;Bagus dan pelayanannya lumayan memuaskan, plusnya lagi ada fasilitas fotografer gratisnya
Nisma cimutt official;3 tahun lalu;Positif;Goa Soekarno;Goa sukarno sangat bagus dengan panorama alam nya dan spot foto pokok nya the best
SURYADI;3 tahun lalu;Positif;Goa Soekarno;Di lelola dg baik shg menarik minat wisata utk berkunjung
Herida Madaya;3 tahun lalu;Positif;Goa Soekarno;Spot selfy dalam goa   Goanya ber AC.. Jd ga panas didalam  
Moh Idris;3 tahun lalu;Positif;Goa Soekarno;Tempat ini bersejarah   . Karena disini adalah dimana bung Karno bersemedi   Dan juga Sayyid   . Para ulama terdahulu 
Draf Darul Ma'rifat;3 tahun lalu;Positif;Goa Soekarno;Saya suka tempat ini. Saya juga di beri kesempatan untuk nyanyi disitu. Pelayanannya baik
Fatih;3 tahun lalu;Positif;Goa Soekarno;Bagus tapi kurang alami
Mohammad Subaidiy;3 tahun lalu;Positif;Goa Soekarno;Sport fotonya bagus2, dan terlihat alami
Ijal SlowMo??;3 tahun lalu;Positif;Goa Soekarno;Bagus untuk refresing di goa, penerangan cukup baik
Syahrizal Hoesny (dhiencdhanc);3 tahun lalu;Positif;Goa Soekarno;Bagus utk refreshing bersama keluarga
uswatun Wilda;3 tahun lalu;Positif;Goa Soekarno;Goa Sukarno Minang menyenangkan dan unik  tingkat lagi
rethoers demak;3 tahun lalu;Positif;Goa Soekarno;Tempat rekreasi goa batu kapur
Imam Yahya;3 tahun lalu;Positif;Goa Soekarno;Spot fotonya keren banget
Purwanto Tok;3 tahun lalu;Positif;Goa Soekarno;Wisata goa yg ada di kota sumenep
M Fandari;3 tahun lalu;Positif;Goa Soekarno;Krn suasananya menyenangkan
Alim nyamako;3 tahun lalu;Positif;Goa Soekarno;Sangat bagus untuk dikunjungi
Samsul Adnan;3 tahun lalu;Positif;Goa Soekarno;Ini adalah waisata alam terbaik
Yogi Hermanta;3 tahun lalu;Positif;Goa Soekarno;kopinya mantap
Fefen Rambo;3 tahun lalu;Positif;Goa Soekarno;Tempatnya nyaman
Iffah Asith;3 tahun lalu;Positif;Goa Soekarno;Lewat aja
Febrian Riski Kurniawan;3 tahun lalu;Positif;Goa Soekarno;Tempatnya bagus
S2R Kids;3 tahun lalu;Negatif;Goa Soekarno;Soap, ojeng, dibenahi lagi.
Moch. Rizky Firmansyah;3 tahun lalu;Positif;Goa Soekarno;Tempatnya artistik..
Nurus Dahri;3 tahun lalu;Positif;Goa Soekarno;Natural banget pokoknya
Soccer TV;3 tahun lalu;Positif;Goa Soekarno;Lumayan bagus
Edi Susanto;3 tahun lalu;Positif;Goa Soekarno;Cari tempat xshotis
andrie rusdiansyah;3 tahun lalu;Positif;Goa Soekarno;Bagus banget
SisKanciL;3 tahun lalu;Positif;Goa Soekarno;Mantap  
Lukman Hakim;3 tahun lalu;Positif;Goa Soekarno;Mantap abis
Moh Hairul Samsi;3 tahun lalu;Positif;Goa Soekarno;Tempat nyantai.
Riza fahlevi Muhaimin;3 tahun lalu;Positif;Goa Soekarno;Tempat yang sangat indah
AL ASFI;3 tahun lalu;Positif;Goa Soekarno;Mantap betul
Ike Verawati;3 tahun lalu;Positif;Goa Soekarno;Indahhh???? …
BENGKEL SETIA;3 tahun lalu;Positif;Goa Soekarno;Mantul
husnul huluq;3 tahun lalu;Positif;Goa Soekarno;Fantastis
Raden Budiarta;3 tahun lalu;Positif;Goa Soekarno;Joss
Ahmad Rida'i;3 tahun lalu;Positif;Goa Soekarno;Bagus
Ners Syamsi;3 tahun lalu;Positif;Goa Soekarno;Bagus
Yushlih Amanah;3 tahun lalu;Positif;Goa Soekarno;Bagus
Dika K-Popers;3 tahun lalu;Positif;Goa Soekarno;Bagus
Siti Zainab;3 tahun lalu;Positif;Goa Soekarno;Bagusss
Story Bola;3 tahun lalu;Positif;Goa Soekarno;Kerrend
AGUS KUSAIRI;3 tahun lalu;Positif;Goa Soekarno;Tempat eksoti …
Naufal El Fany;4 bulan lalu;Positif;Goa Soekarno;Bagus tempatnya, meski rasa guanya tidak lagi alami
Sirajul Munir;4 tahun lalu;Positif;Goa Soekarno;Wisata Gua Soekarno terletak di Desa Panaongan, Kecamatan Pasongsongan, Sumenep. Jaraknya hanya sekitar 40-45 menit dari pusat kota Sumenep. …
??????? ????????;4 tahun lalu;Positif;Goa Soekarno;Destinasi Wisata Baru berupa Goa Alam yg ada di Desa Panaongan Kec. Pasongsongan Sumenep,, Areal Sangat Luas,, Didalamnya Color Full,, Ada Cafe,, Pertunjukan Musik,, Banyak Spot Selfie yang Beraneka Warna Sorotan Lampu,, Tidak Terasa Pengap …
Adnm adnm;4 tahun lalu;Positif;Goa Soekarno;Rekom bgt. Buat kalian yg mau refreshing. Tiket lumyn murah, tempatnya adem sejuk indah ke mata, apa lagi buat nongkrong cocok untuk yg pecinta musik d sana free acousticnya   Saran aj. Kalau bs makanannya jangan terlalu mahal yah kak..
Romdhan Feriyadi;4 tahun lalu;Positif;Goa Soekarno;Yang menjadi bagus karna udah dikasi lampu warna warni didalam goa, ada cafe dan tempat makan juga. Karaoke juga bisa ?? …
DAT.;4 tahun lalu;Positif;Goa Soekarno;Goa Soekarno, Destinasi yg sangat rekomended saat berada di Sumenep, Jawa Timur. Dengan tidak merusak dan mempertahankan bentuk asli Goa yg alami ditambah polesan sedikit penerangan di setiap sudut Goa dg pancaran lampu warna warni, membuat …
Alesandro Mawardi;4 tahun lalu;Positif;Goa Soekarno;Tempat wisata berupa gua alam. Tempatnya bagus, guanya luas, cukup tertata dan terkelola dengan baik. Meskipun masih banyak kekurangan fasilitas yang perlu diperbaiki kedepannya. Tempat parkir, penataan pedagang, taman dan peneduh …
Gadget Trik & info GTI;4 tahun lalu;Positif;Goa Soekarno;Rame kalo saat liburan, lumayan bagus, tapi gk da wahana2 disini, hanya goa dan tempat2 Selfie.
Ummul Khair Ahmaya;4 tahun lalu;Positif;Goa Soekarno;Yang bikin penasaran orang orang karena ini wisata baru yang namanya mencuat hanya dalam waktu tiga hari. Wow bangetttt    Di dalam instagramable banget. Wajib ke sana deh.
kumpulan edit Alight Motion;4 tahun lalu;Positif;Goa Soekarno;Bersama keluarga takziyah ke Sumenep kembalinya berkunjung ke GOA SOEKARNO terletak di Pasongsongan Sumenep Madura
Abu Nayeef;4 tahun lalu;Positif;Goa Soekarno;Tempatnya lumayan bagus lah, cuma sayang gak ada penjelasan sejarah nya gimana   . Petugas nya juga ramah.
Eko Cahyono;4 tahun lalu;Positif;Goa Soekarno;Keren banget. Gak nyesel kesini. Harga tiketnya murah
Van Tetsu;4 tahun lalu;Positif;Goa Soekarno;Tempat bagus, saran masih blum terdapat denah didalam venue dan fasilitas toilet perlu ditambah dalam venue, jdi ketika ad pengunjung mo ke toilet tidak perlu kluar venue
Virgo Aryanto;4 tahun lalu;Positif;Goa Soekarno;Jalan menuju lokasi wisata dah OK , hanya tempat parkir blm paving , Parkir Mobil 5000 saja , untuk HTM per orang 15.000
Obat Hati;4 tahun lalu;Negatif;Goa Soekarno;Tempatnya kotor, di dalam tdk original lagi terkesan buatan
fadel abu aufa;4 tahun lalu;Positif;Goa Soekarno;Amazing baru pertama di madura, di dalam goa ada cafenya, suasana sangat mendukung dan tidak pengap bikin pingin berlama-lama berada di dalam goa
Apri Darmawansah;4 tahun lalu;Positif;Goa Soekarno;tempatnya keren indah manis sejuk damai BAGI para jomblo segera merapat  
Shinta Embem;4 tahun lalu;Positif;Goa Soekarno;Goa yg menawan, indah dan memanjakan mata yg memandang
Finalia Meriana;4 tahun lalu;Positif;Goa Soekarno;Mahakarya alam yg Indah.. Perlu sentuhan sdkt biar lbh mantul
Ryu Chi;4 tahun lalu;Positif;Goa Soekarno;Sangat bagus, tarif parkir mobil cuma 5k dan sepeda motor cuma 3k.. tiket masuk murah meriah cuma 15k.. ada cafe yg menyediakan berbagai minuman dan makanan.. recomended lah buat pecinta adventure alam.. goanya sangat luas dan eksotis, di dalam suhunya juga sejuk. Overall its okay!!!
Rudy Prayitno (Rudy SP);4 tahun lalu;Positif;Goa Soekarno;Goa dilaunching 8 Juni 2019. Penemu Sukardi. Dinamakan Soekarno karena saat bertapa banyak menggunakan atribut Presiden RI pertama. Kondisi sudah dilengkapi dengan tata lampu, artistik, cafe dalam dan Pertunjukkan Musik. Suasana sejuk, …
Fadhal Hidayatullah;4 tahun lalu;Positif;Goa Soekarno;Goa yang masih terjaga keasliannya ini terletak tidak sekitar 5-10 KM dari Pantai Slopeng. Goa dengan spot Foto bagus ini memanjakkkan pengunjung yang suka mengabadikan Moment dengan berfoto. Rekomendasi buat kalian yang ingin mengambil spot foto yang bagus. Ada fasilitas Cafe di dalamnya.
Mustafa Ibrahim;4 tahun lalu;Positif;Goa Soekarno;"Very good, tempat yg sangat indah.. recomended buat wisatawan.
Warga setempat juga sangat ramah dan sangat welcome terhadap wisatawan.
Tarif parkir murah meriah dan HTM juga sangat terjangkau.. …"
Yusuf Agung Nugroho;4 tahun lalu;Positif;Goa Soekarno;Destinasi wisata baru di Sumenep, tempatnya bersih terawat, pengaturan cahaya dan lampunya bagus, cocok buat yg ongen jalan2 bareng keluarga tapi tidak mau jauh2. …
Mohammad Zafradi Wagiono;4 tahun lalu;Negatif;Goa Soekarno;Banyak spot foto, tapi akses jalan ke lokasi sempit, jadi lebih baik bila bawa mobil yg bodi kecil saja biar klo papasan enak
Mr Faisal;4 tahun lalu;Positif;Goa Soekarno;Tempatnya sangat bagus sekali..tp untuk fasilitas jln masuknya masih perlu perbaikan trus tempat istirahat untuk parkir driver blm ada
Dapur alka;4 tahun lalu;Positif;Goa Soekarno;Pernah berkunjung tempatnya oke bgt keren eksotis masih alami ada live musik cafenya keren nyaman harga cukup terjangkau jarang ada di tempat lain wajib datang gaes
Madura Vacation;4 tahun lalu;Positif;Goa Soekarno;"Sebuah karya inovasi yg spektakuler dalam dunia pariwisata di sumenep,
anda akan takjub jika berada dalam goa soekarno dan akan merasa kerasan pingin berlama-lama menikmati suasana yg sangat mendukung untuk nyantai, …"
khalilur elzain;4 tahun lalu;Negatif;Goa Soekarno;Berangkat nafsu pulang kecewa karena pas macet
HARYADI KURNIAWAN;4 tahun lalu;Positif;Goa Soekarno;Goa yang bagus. Sejarah pemberian nama goa Soekarno Menurut warga setempat, ada seorang musafir yg tinggal disitu, dan musafir itu menyukai Soekarno shg banyak foto dan segala hal ttg Soekarno. Krn hal itu kemudian diberi nama goa Soekarno. Dan goa ini gada kaitannya dengan bung karno langsung
Taufan Efendi;4 tahun lalu;Positif;Goa Soekarno;Bagus tempatnya..
ach choirul;4 tahun lalu;Positif;Goa Soekarno;Lokasi menarik, eksotis dan unik. Saran lebih banyak diberikan petunjuk arah menuju lokasi, agar Wisatawan tidak bingung.
BilQulub 94;4 tahun lalu;Positif;Goa Soekarno;"Wisata baru dari kota Sumenep Madura
Kalau suka wisata plus tempat nongkrong nyemal nyemil tapi view keren tmpt ini cocok banget
Harga juga murah"
Hosnan Edyan;4 tahun lalu;Positif;Goa Soekarno;"Lahan parkir luas namun perlu pengelaloaan  shg kesan masih kurang bagus  .
Saran petunjuk ke goa Soekarno perlu dibuat arah ke goa  .."
Rohim Dasuki;4 tahun lalu;Positif;Goa Soekarno;Nyaman, adem, indah di pandang
Ali SOBAT_;4 tahun lalu;Positif;Goa Soekarno;"Tempatnya Bagus Sekali Is the best deh Tapi Mushollanya di Renov lagi ya kakak.
Kan Biar Enak"
Sumenep Tour 86 tv;4 tahun lalu;Positif;Goa Soekarno;Bagus goa soekarna ..yang mau ke wisata sumenep .khususnya pulau gili labak dan pantai 9..hub kami SUMENEP TOUR 86
Ferry Saputra;4 tahun lalu;Positif;Goa Soekarno;Tempat wisata favourite baru di sumenep, bersih dan sejuk. Jauh dari kesan kumuh dan pengap seperti wisata gua lainnya di indonesia
DINASTY;4 tahun lalu;Positif;Goa Soekarno;Gua Soekarno sangat cocok sebagai tempat belajar. Bagi guru bisa mengajak siswanya untuk mengenal gua lebih dekat
Zidna Ilma;4 tahun lalu;Negatif;Goa Soekarno;"Sya merasa terdzolimi   akses masuk dari parenduwen ancur..
Mobil hmpir rusak..
Tiket masuk mahal.."
Muhaimin Omienk;4 tahun lalu;Positif;Goa Soekarno;Tempat wisata baru yg menakjubkan, refrensi bagi yg mau berwisata.
Mohammad Zulkarnain;4 tahun lalu;Positif;Goa Soekarno;Bikers Muslim gassss ke goa Soekarno
Wisata Madura;4 tahun lalu;Positif;Goa Soekarno;Tempat menarik dan eksotis. Cocok untuk bersantai bersama keluarga.
mz_aris 1;4 tahun lalu;Positif;Goa Soekarno;Tempat rekreasi yang penuh dengan keindahan, tempat ini juga cocok sebagai tujuan wisata
iful konslet;4 tahun lalu;Positif;Goa Soekarno;Tempat nongkrong kekinian tpi tetap ya harus merawat keasrian ketika berkunjung ke tempat ini
kocheng ganteng;4 tahun lalu;Positif;Goa Soekarno;Salah satu objek wisata yang cocok buat mengisi liburan
Santa Rosa;4 tahun lalu;Positif;Goa Soekarno;Destinasi wisata asli bukan hoax. Nikmatilah suasana ngopi bareng di Goa Soekarno.
Rina Dasma32;4 tahun lalu;Positif;Goa Soekarno;Penjaga barang titipan kurang bertanggung jawab atas barang-barang pengunjung yg dititipkan, kemaren barang saya sendiri yang hilang.
hosnol Alizain;4 tahun lalu;Positif;Goa Soekarno;Asyik
abi oleolang;4 tahun lalu;Positif;Goa Soekarno;KERREENNNN BANGET
DUDI INDRAYATNO;4 tahun lalu;Positif;Goa Soekarno;Bagus, ada cafe live music , indah
Jajak Sekitar;4 tahun lalu;Positif;Goa Soekarno;Asyik. Luas. Enggak pengap. Menyenangkan. Refresh beneran..
Habibi Rahman;4 tahun lalu;Positif;Goa Soekarno;Lumayan bagus cuman kurang rame
Budi Kurniawan Mugcantik;4 tahun lalu;Positif;Goa Soekarno;Sip
J3 Pro Dunia Cell;4 tahun lalu;Positif;Goa Soekarno;Keindahan yang dibangun terlalu bertumpu pada lampu
CHannel ABAL ABAL;4 tahun lalu;Positif;Goa Soekarno;Mntap,pamandnagn bawah tanah yg istimewa  ..
Syazna Maulida;4 tahun lalu;Positif;Goa Soekarno;Kerenn
Suri Channel 77;4 tahun lalu;Positif;Goa Soekarno;Eksotisme guwa dengan renovasi modern ala kota Sumekar Sumenep
Nahrulla Arul;4 tahun lalu;Positif;Goa Soekarno;Mantap   Tempat yang indah mempesona. Jelajah Goa Soekarno
Adink Barelank;4 tahun lalu;Positif;Goa Soekarno;Lumayan lah buat liburan
AKHMAD NOFIL;4 tahun lalu;Positif;Goa Soekarno;Menakjubkan
Halifi;4 tahun lalu;Positif;Goa Soekarno;Cocok bagi yang suka selfie
Sinta Agustina;4 tahun lalu;Positif;Goa Soekarno;Bagus juga menarik
Agus Irawan;4 tahun lalu;Negatif;Goa Soekarno;Panas poolll rame loket satu
Ahmat Ahmat;4 tahun lalu;Positif;Goa Soekarno;Bagus
abillio ghafur;4 tahun lalu;Positif;Goa Soekarno;tempatnya baguss
Ainun Hofi;4 tahun lalu;Positif;Goa Soekarno;Tempatnya asri
taufiqur rahman;4 tahun lalu;Positif;Goa Soekarno;Smg smkin meningkatkan kwalitas
radenrandyjun;4 tahun lalu;Positif;Goa Soekarno;Ada cafe jg ?? …
Riskiyah Rifai;4 tahun lalu;Positif;Goa Soekarno;Bagus
NENG dan AA CHANNEL;4 tahun lalu;Positif;Goa Soekarno;Keren bgt
Afif Ishmah;4 tahun lalu;Positif;Goa Soekarno;"Tempat indah
Mmnghilangkan lekah"
Dhydiet F;4 tahun lalu;Positif;Goa Soekarno;Bagus dan alami
Muhammad Muhdhar;4 tahun lalu;Positif;Goa Soekarno;Bagus,menakjubkan
Adiyono Diyon;4 tahun lalu;Positif;Goa Soekarno;Semoga Sumenep semakin jaya
Ach Muzanny;4 tahun lalu;Positif;Goa Soekarno;Indah pengen nyampek lagi
Umamah 95;4 tahun lalu;Positif;Goa Soekarno;Sangat bagus
Edy Rai;4 tahun lalu;Positif;Goa Soekarno;Sangat keren
Badry Cengkal*59;4 tahun lalu;Negatif;Goa Soekarno;Kurang nyaman
Agus Sulastio;4 tahun lalu;Positif;Goa Soekarno;Lumayan
Kiky Noufall;4 tahun lalu;Positif;Goa Soekarno;Kren
Zainor Rahcman;4 tahun lalu;Positif;Goa Soekarno;Mantap pull
NASIR PUTRA KADES;4 tahun lalu;Positif;Goa Soekarno;Keren
Khoir Nahrawi;4 tahun lalu;Positif;Goa Soekarno;Indah
Willy Safitry35;4 tahun lalu;Positif;Goa Soekarno;Subhanallah
Ben Rush;4 tahun lalu;Positif;Goa Soekarno;Keren  ???????????? …
Nisrina Hikmawati;4 tahun lalu;Positif;Goa Soekarno;Keren
Dream Light;4 tahun lalu;Positif;Goa Soekarno;Bagus
aditya wicaksono;4 tahun lalu;Positif;Goa Soekarno;Tempat yang bagus untuk menghabiskan liburan. Mudah-mudahan akan lebih baik lain kali kita  …
noviana citrayati;4 tahun lalu;Positif;Goa Soekarno;"Sungguh indah sekali tempatnya  ???????? Cara lain menikmati ciptaan Yang Maha Kuasa..
“Fa bi’ayyi aalaaa’i robbikuma tukadd …"
Lisal Anbiyah;4 tahun lalu;Positif;Goa Soekarno;gua yang benar-benar alami dengan cahaya mengelilingi Anda .. A …
Alfqs;4 tahun lalu;Positif;Goa Soekarno;Tempat yang sangat spe …
Bintang Putih;4 tahun lalu;Positif;Goa Soekarno;"perlu mempercantik lagi
salin Gua Permaisur …"
JAMIL;4 tahun lalu;Positif;Goa Soekarno;Sangat bagus
Ruli Septiana Dwi Jayanti;4 tahun lalu;Positif;Goa Soekarno;Sangat bagus
Yesi dwi diastutik;4 tahun lalu;Positif;Goa Soekarno;Ke be …
Mas 'Edi;4 tahun lalu;Positif;Goa Soekarno;Sejarah
HERAWAN OETOMO;4 tahun lalu;Positif;Goa Soekarno;Keren
setiabudi aluminium;4 tahun lalu;Positif;Goa Soekarno;Luar bi …
Rosi Fahrul;4 tahun lalu;Positif;Goa Soekarno;Fantastis
Achmad Renaldi;4 tahun lalu;Positif;Goa Soekarno;direkomendasikan  …
Fahrio Azril Wizam Wafi;4 tahun lalu;Positif;Goa Soekarno;Cantik
Bos.yono Bos;4 tahun lalu;Positif;Goa Soekarno;Kereeeeennn  ..?????? …
abdurrauf faqih;4 tahun lalu;Positif;Goa Soekarno;Keren
bama hidayanto;4 tahun lalu;Positif;Goa Soekarno;Luar biasa …
Wa Weng;5 bulan lalu;Positif;Goa Soekarno;Tempatnya bagus cocok buat bawa istri atau keluarga
Nor Azizah;sebulan lalu;Negatif;Goa Soekarno;Akhirnya berakhir
yusfrie virgianto;setahun lalu;Positif;Goa Soekarno;Perlu pembenahan ketika masuk dan area ketika keluar dari Gua  cocok buat santai minum kopi dan mendengarkan alunan lagi  buatlah petunjuk arah menuju Gua dan  perlu penataan agar bisa menjadi pilihan wisata di Madura
Ach Hamdani;setahun lalu;Positif;Goa Soekarno;"Keren tempatnya??
Bagus untuj para keluarga atau anak muda buat poto poto.. Selfi oke bet …"
Nawiyatul Qomariyah;setahun lalu;Positif;Goa Soekarno;Goanya cukup luas, seneng mbak” yg jaga cafe di dalam ramah bgt????? …
Udin Samsudin;setahun lalu;Positif;Goa Soekarno;sangat ideal bila ada pasangan
Rifky Yudha Mahendra;setahun lalu;Positif;Goa Soekarno;Hidden gem! Dari luar hanya terlihat seperti perkebunan biasa, namun setelah masuk goa tidak menyangka akan seluas dan se bagus itu. Terdapat cafe dan tempat karaoke di dalamnya. Bahkan terdapat penjaga yang dapat mengiringi musik dengan petikan gitarnya
maria ulfa;setahun lalu;Positif;Goa Soekarno;Bagus tapi wahana bermainnya sudah tidak beroperasi lagi
